Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;04/01/2022;Vente;125000;109;;RUE;43;DE BRESSE;1110;PLATEAU D'HAUTEVILLE;1;185;;L;550;;;;;;;;;;;;0;1;Maison;;74;3;S;;654
;;;;;;;1;04/01/2022;Vente;125000;109;;RUE;43;DE BRESSE;1110;PLATEAU D'HAUTEVILLE;1;185;;L;550;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;654
;;;;;;;1;06/01/2022;Vente;198000;46;;RUE;680;DE LA POYPE;1330;VILLARS-LES-DOMBES;1;443;;BP;220;;6;70;84;;;;;;;;;1;2;Appartement;;70;3;;
;;;;;;;1;06/01/2022;Vente;198000;46;;RUE;680;DE LA POYPE;1330;VILLARS-LES-DOMBES;1;443;;BP;220;;29;;;;;;;;;;1;3;Dépendance;;0;0;;;
;;;;;;;1;06/01/2022;Vente;198000;46;;RUE;680;DE LA POYPE;1330;VILLARS-LES-DOMBES;1;443;;BP;220;;61;;;;;;;;;;1;3;Dépendance;;0;0;;;
;;;;;;;1;07/01/2022;Vente;735000;252;;RUE;65;DE COMBES;1710;THOIRY;1;419;;BN;84;;;;;;;;;;;;0;1;Maison;;147;5;S;;628
;;;;;;;1;07/01/2022;Vente;735000;252;;RUE;65;DE COMBES;1710;THOIRY;1;419;;BN;84;;;;;;;;;;;;0;3;Dépendance;;0;0;S;;628
;;;;;;;1;10/01/2022;Vente;375744;63;;RUE;150;DE VILLARD;1210;ORNEX;1;281;;AD;129;;102;81;88;;;;;;;;;1;2;Appartement;;81;3;;
;;;;;;;1;10/01/2022;Vente;375744;63;;RUE;150;DE VILLARD;1210;ORNEX;1;281;;AD;129;;51;;;;;;;;;;1;3;Dépendance;;0;0;;;
;;;;;;;1;07/01/2022;Vente;4310000;116;B;IMP;128;DE LA LIOUDE;1170;CESSY;1;71;;AP;17;;;;;;;;;;;;0;2;Appartement;;40;2;S;;510
;;;;;;;1;07/01/2022;Vente;4310000;116;;IMP;128;DE LA LIOUDE;1170;CESSY;1;71;;AP;18;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;2630;0;S;;5000
;;;;;;;1;07/01/2022;Vente;4310000;51;;IMP;128;DE LA LIOUDE;1170;CESSY;1;71;;AP;29;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;;293;0;S;;1300
